tracking_number,shipment_date,estimated_delivery,actual_delivery,origin_city,destination_city,weight_kg,pieces,status,customer_email,driver_employee_id,route_code,carrier_tracking_number,delivery_notes
FF-100001,07/22/2025,07/25/2025,,San Bernardino,Riverside,44.59,48,PICKED_UP,johnsonjoshua@example.org,EMP-035,RT-003,,Say quality throughout.
FF-100002,08/20/2022,2022-08-24,,Pomona,Irvine,47.35,1,OUT_FOR_DELIVERY,garzaanthony@example.org,EMP-049,RT-026,CTN553778756,Discussion own night respond red.
FF-100003,2025-12-03,2025-12-04,2025-12-03,Anaheim,Los Angeles,86.62,36,DELIVERED,lrobinson@example.com,EMP-019,RT-027,,
FF-100004,12/16/2022,2022-12-20,12/23/2022,San Bernardino,Fontana,28.11,11,DELIVERED,blakeerik@example.com,EMP-024,RT-012,CTN386665249,
FF-100005,2025-03-28,03/31/2025,03/29/2025,Pomona,Long Beach,34.24,21,DELIVERED,joshua35@example.org,EMP-026,RT-009,CTN709004943,
FF-100006,11/15/2022,11/20/2022,,Pomona,Corona,42.66,38,IN_TRANSIT,jamesmichael@example.com,EMP-026,RT-012,CTN248532577,Enough analysis least by two bad.
FF-100007,2023-07-23,07/27/2023,,Corona,San Bernardino,15.71,36,OUT_FOR_DELIVERY,maria95@example.net,EMP-001,RT-022,,
FF-100008,2025-06-12,06/15/2025,,Fontana,Riverside,38.54,49,DELAYED,janetwilliams@example.org,EMP-012,RT-017,,
FF-100009,05/27/2021,2021-06-01,,Pomona,Corona,324.87,20,IN_TRANSIT,tracie31@example.com,EMP-016,RT-002,CTN709194872,
FF-100010,2024-06-24,2024-06-26,,Ontario,Pomona,43.85,39,IN_TRANSIT,shawn52@example.com,EMP-028,RT-007,,
FF-100011,2022-01-28,01/30/2022,,Pomona,Fontana,16.44,15,PICKED_UP,jason41@example.net,EMP-038,RT-008,CTN860038427,
FF-100012,2024-06-03,2024-06-05,06/10/2024,Fontana,Long Beach,102.86,16,DELIVERED,amandasanchez@example.com,EMP-031,RT-026,,Establish understand read detail food shoulder argue start source husband.
FF-100013,2022-10-17,10/19/2022,,Anaheim,San Bernardino,12.27,18,PICKED_UP,clarksherri@example.net,EMP-030,RT-008,,Defense material those poor central cause seat much section investment on gun.
FF-100014,2023-09-05,2023-09-09,,Long Beach,Ontario,46.16,26,IN_TRANSIT,williamdavis@example.org,EMP-004,RT-006,,
FF-100015,04/08/2022,2022-04-10,,Pomona,Fontana,120.35,35,IN_TRANSIT,hernandezernest@example.net,EMP-004,RT-024,,Others his other life edge network wall quite boy those seem shoulder.
FF-100016,2024-09-25,09/26/2024,2024-09-27,Ontario,San Bernardino,25.61,26,DELIVERED,daniel62@example.com,EMP-008,RT-029,,West then.
FF-100017,2023-08-14,2023-08-16,2023-08-18,Long Beach,Anaheim,3.61,5,DELIVERED,teresa28@example.org,EMP-001,RT-015,,Fear police participant check several much single.
FF-100018,01/27/2026,02/01/2026,2026-01-30,Ontario,Pomona,60.99,43,DELIVERED,georgetracy@example.org,EMP-036,RT-010,,These story film around there water.
FF-100019,2024-02-20,2024-02-23,,Los Angeles,Corona,42.52,28,DELAYED,dennislisa@example.net,EMP-018,RT-002,CTN927982963,Campaign little near enter their institution.
FF-100020,2021-08-07,08/10/2021,,Ontario,Corona,23.05,10,OUT_FOR_DELIVERY,sarahcampos@example.net,EMP-028,RT-005,CTN491541578,
FF-100021,2025-10-09,2025-10-14,,San Bernardino,Irvine,170.96,16,DELIVERED,jenniferross@example.net,EMP-011,RT-026,,
FF-100022,2022-04-17,04/18/2022,,Long Beach,Anaheim,25.22,3,IN_TRANSIT,samuel87@example.org,EMP-031,RT-008,CTN594246837,Different full open discover detail audience.
FF-100023,2024-12-29,2025-01-03,,Los Angeles,Irvine,113.4,2,IN_TRANSIT,perezrebecca@example.com,EMP-008,RT-029,,Method everything magazine much rich.
FF-100024,2023-07-23,2023-07-28,,Pomona,San Bernardino,28.6,3,PICKED_UP,esanchez@example.com,EMP-046,RT-014,CTN965984448,Behind probably great in tell.
FF-100025,2024-03-29,2024-04-01,2024-04-04,San Bernardino,Anaheim,-5.7,9,DELIVERED,nuneztracey@example.org,EMP-013,RT-014,,I fund technology eat.
FF-100026,04/06/2024,04/10/2024,04/10/2024,Fontana,Long Beach,53.62,43,DELIVERED,amandataylor@example.org,EMP-006,RT-010,,
FF-100027,2024-10-28,2024-10-29,,Long Beach,Pomona,88.97,46,IN_TRANSIT,steven17@example.net,EMP-045,RT-013,,Anything yourself.
FF-100028,2021-09-05,2021-09-10,,Pomona,Fontana,14.03,8,PICKED_UP,novaksara@example.org,EMP-030,RT-005,,
FF-100029,2026-01-21,2026-01-26,,Pomona,Irvine,96.96,29,IN_TRANSIT,richardolson@example.com,EMP-017,RT-025,CTN784683755,Clearly able hospital unit size expect recent room.
FF-100030,06/05/2024,2024-06-06,,Anaheim,Irvine,176.48,15,PENDING,smoore@example.org,EMP-025,RT-023,CTN329730155,Often my security arm once me.
FF-100031,2026-03-15,2026-03-20,,Corona,Riverside,83.97,49,IN_TRANSIT,brianromero@example.org,EMP-025,RT-028,,
FF-100032,2024-02-14,2024-02-15,,Los Angeles,Fontana,34.28,43,IN_TRANSIT,larsonemma@example.org,EMP-044,RT-026,,Build three east organization people information on mission various daughter respond draw.
FF-100033,2025-01-01,2025-01-05,,Riverside,Ontario,24.24,25,PENDING,panderson@example.com,EMP-021,RT-007,,First sell authority leader your you available defense enter value thing.
FF-100034,2023-05-12,05/14/2023,2023-05-12,Pomona,Riverside,35.75,49,DELIVERED,mikemoore@example.net,EMP-002,RT-008,CTN121882877,
FF-100035,2025-10-04,10/06/2025,,Corona,San Bernardino,39.55,20,DELAYED,cheryl80@example.net,EMP-037,RT-022,,Federal professional voice care break blood network evening painting.
FF-100036,2025-11-11,2025-11-16,,Corona,San Bernardino,38.22,35,DELIVERED,james48@example.com,EMP-028,RT-022,,Town suffer begin interest everybody about side PM.
FF-100037,2023-11-03,11/05/2023,2023-11-07,Fontana,Ontario,6.2,50,DELIVERED,evan78@example.net,EMP-031,RT-015,,
FF-100038,04/14/2023,04/15/2023,,Corona,Irvine,7.43,21,IN_TRANSIT,hhoffman@example.org,EMP-012,RT-016,CTN956665975,Nation strong old challenge camera final.
FF-100039,2025-06-08,2025-06-12,,San Bernardino,Los Angeles,35.82,42,IN_TRANSIT,nolanjason@example.org,EMP-046,RT-016,,Government nice themselves wind see.
FF-100040,2023-10-14,2023-10-19,,Pomona,Anaheim,7.17,45,IN_TRANSIT,michellecherry@example.org,EMP-030,RT-009,,Agent say forward us soon ten specific.
FF-100041,06/17/2025,06/22/2025,,Fontana,Los Angeles,14.79,7,DELAYED,erik16@example.org,EMP-013,RT-010,CTN292673892,Develop staff least figure somebody dinner age cover foreign ten whom evidence political hundred.
FF-100042,04/17/2026,04/18/2026,,Fontana,San Bernardino,29.2,31,OUT_FOR_DELIVERY,sheila14@example.org,EMP-031,RT-015,,
FF-100043,2022-04-01,2022-04-03,2022-04-05,Corona,Riverside,63.42,36,DELIVERED,benjamin96@example.com,EMP-049,RT-014,,
FF-100044,2024-10-25,2024-10-26,,Corona,Riverside,48.68,14,DELAYED,samuel81@example.com,EMP-041,RT-007,CTN187174381,Couple and job mind southern rather vote.
FF-100045,2023-01-06,01/09/2023,01/14/2023,Riverside,Los Angeles,63.91,17,DELIVERED,michaeljones@example.net,EMP-041,RT-019,,
FF-100046,2023-11-11,2023-11-12,,Los Angeles,Anaheim,45.39,20,IN_TRANSIT,cindy14@example.net,EMP-045,RT-013,,Project for recent never court professor here security community notice.
FF-100047,09/06/2022,2022-09-11,,Riverside,Ontario,178.9,18,OUT_FOR_DELIVERY,akelley@example.com,EMP-037,RT-002,,Decision size parent focus kid put memory soldier where save probably.
FF-100048,2024-01-13,2024-01-16,,Fontana,San Bernardino,41.31,21,IN_TRANSIT,zachary95@example.org,EMP-043,RT-004,,Pull different current agency each little sure authority increase.
FF-100049,2023-03-19,2023-03-20,,Anaheim,Los Angeles,12.29,1,DELAYED,jennifercruz@example.com,EMP-043,RT-028,,Challenge reach throughout team those sing.
FF-100050,2022-02-18,2022-02-21,,Los Angeles,Corona,65.43,45,IN_TRANSIT,gregoryrubio@example.net,EMP-032,RT-004,CTN776481264,
FF-100051,2022-01-21,2022-01-23,,San Bernardino,Pomona,25.83,18,IN_TRANSIT,pwilliams@example.org,EMP-027,RT-027,,Card let most next fish sense kind spring throughout interview trade knowledge.
FF-100052,2025-09-24,2025-09-28,,San Bernardino,Anaheim,10.32,33,IN_TRANSIT,juliawells@example.com,EMP-018,RT-027,CTN879591310,Style everyone sing machine dream key require doctor from throw.
FF-100053,2023-03-16,2023-03-18,,Irvine,Pomona,35.48,50,CANCELLED,taylorjesse@example.net,EMP-027,RT-002,,Relationship ask imagine my indeed deal information.
FF-100054,03/19/2024,2024-03-24,,Riverside,Long Beach,88.26,7,IN_TRANSIT,gateskathy@example.com,EMP-029,RT-004,,Accept goal send table well industry section.
FF-100055,01/15/2025,2025-01-16,2025-01-20,Anaheim,Fontana,127.25,49,DELIVERED,tracynelson@example.com,EMP-032,RT-028,,
FF-100056,2022-05-01,05/04/2022,,San Bernardino,Pomona,22.22,3,DELAYED,priceelizabeth@example.com,EMP-021,RT-026,CTN484897084,Subject try wonder move.
FF-100057,2024-11-15,11/17/2024,,Corona,Irvine,17.64,41,IN_TRANSIT,qvargas@example.org,EMP-017,RT-015,CTN110090412,
FF-100058,2024-12-24,2024-12-28,01/02/2025,Corona,Los Angeles,23.04,20,DELIVERED,dayderek@example.com,EMP-013,RT-013,,Anyone here deep force seven here sell story.
FF-100059,2024-10-18,2024-10-22,2024-10-24,Corona,Riverside,37.21,23,DELIVERED,mary70@example.net,EMP-015,RT-021,CTN369108475,
FF-100060,08/24/2024,2024-08-27,2024-08-26,Fontana,Riverside,16.22,19,DELIVERED,cookemichael@example.net,EMP-021,RT-024,,Sit prepare senior wear current after charge call.
FF-100061,11/28/2025,2025-11-29,,Los Angeles,Irvine,147.1,15,IN_TRANSIT,elliottjeffery@example.net,EMP-044,RT-024,,Short cold parent security boy standard who blue agent find quality.
FF-100062,2026-01-04,2026-01-07,,Los Angeles,Fontana,71.04,15,PENDING,tsanders@example.org,EMP-031,RT-001,,
FF-100063,2022-01-19,2022-01-21,,Los Angeles,Fontana,500.0,8,PENDING,vargasmaria@example.org,EMP-007,RT-008,,Recent feeling range south someone not American mouth.
FF-100064,2025-01-26,2025-01-27,2025-01-31,Ontario,Fontana,71.43,18,DELIVERED,casey50@example.com,EMP-003,RT-023,,Black whether player stock religious itself safe whole.
FF-100065,2026-02-25,2026-03-01,,Long Beach,San Bernardino,46.38,2,PENDING,christina87@example.com,EMP-004,RT-026,,
FF-100066,2025-09-27,2025-09-29,09/27/2025,Long Beach,Irvine,132.71,18,DELIVERED,lpetersen@example.com,EMP-010,RT-005,,
FF-100067,2022-02-09,2022-02-13,,Los Angeles,Riverside,32.11,50,OUT_FOR_DELIVERY,melissa14@example.com,EMP-024,RT-017,,Seek now property from management foot.
FF-100068,2021-09-27,2021-10-01,2021-10-05,Fontana,Riverside,10.62,44,DELIVERED,zlewis@example.com,EMP-007,RT-016,,Evidence other they new might.
FF-100069,2023-01-19,2023-01-23,,Corona,Pomona,6.64,8,OUT_FOR_DELIVERY,christophercortez@example.com,EMP-042,RT-021,,Serve real position make society behavior develop reality fill.
FF-100070,2023-10-17,2023-10-20,2023-10-23,San Bernardino,Irvine,70.37,10,DELIVERED,thomas85@example.com,EMP-044,RT-030,,Former reflect even edge building court.
FF-100071,2023-09-14,09/17/2023,09/21/2023,Anaheim,San Bernardino,97.5,19,DELIVERED,newtonstephanie@example.net,EMP-039,RT-010,,Course school everybody operation set.
FF-100072,2026-02-19,2026-02-24,,Long Beach,Fontana,10.2,40,DELAYED,tina34@example.org,EMP-040,RT-022,,Conference add move ever window network recently call.
FF-100073,2024-07-28,2024-08-01,,Ontario,Long Beach,28.46,6,PENDING,agarcia@example.net,EMP-048,RT-017,CTN550791704,Light key continue anything wait.
FF-100074,2022-04-13,2022-04-18,,Riverside,Long Beach,2.3,6,PENDING,ewilson@example.com,EMP-018,RT-015,,Available picture approach chance none fight yes budget share paper so difficult mission.
FF-100075,05/09/2024,2024-05-12,,Corona,Fontana,11.36,1,PENDING,tkerr@example.net,EMP-014,RT-010,,
FF-100076,05/20/2024,2024-05-22,,Ontario,Fontana,75.73,43,OUT_FOR_DELIVERY,ntorres@example.org,EMP-023,RT-003,,
